split,label,chunk_size,chunk_overlap,top_k,questions,source_passages,chunks,precision_at_k,recall_at_k,hit_rate_at_k,f1_at_k,index_seconds,latency_ms_per_query
dev,"size=500, overlap=75",500,75,1,1128,5830,44679,0.1320921985815603,0.12677304964539007,0.1320921985815603,0.12937797532303508,37.12570809999306,0.5092509401558853
dev,"size=500, overlap=75",500,75,3,1128,5830,44679,0.06885342789598108,0.195774231678487,0.20390070921985815,0.10187693128104403,37.12570809999306,0.5092509401558853
dev,"size=500, overlap=75",500,75,5,1128,5830,44679,0.04964539007092199,0.23478132387706854,0.2429078014184397,0.08196002578981303,37.12570809999306,0.5092509401558853
dev,"size=500, overlap=75",500,75,10,1128,5830,44679,0.028191489361702127,0.26669621749408984,0.27393617021276595,0.05099272301620637,37.12570809999306,0.5092509401558853
dev,"size=1000, overlap=150 (baseline)",1000,150,1,1128,5830,22153,0.12056737588652482,0.11657801418439716,0.12056737588652482,0.11853913965665805,28.282803399997647,0.3598093621395748
dev,"size=1000, overlap=150 (baseline)",1000,150,3,1128,5830,22153,0.06678486997635934,0.19222813238770686,0.19858156028368795,0.09912962446006103,28.282803399997647,0.3598093621395748
dev,"size=1000, overlap=150 (baseline)",1000,150,5,1128,5830,22153,0.0475177304964539,0.22635933806146574,0.2349290780141844,0.07854678800233855,28.282803399997647,0.3598093621395748
dev,"size=1000, overlap=150 (baseline)",1000,150,10,1128,5830,22153,0.02872340425531915,0.27009456264775417,0.2801418439716312,0.0519248249394021,28.282803399997647,0.3598093621395748
dev,"size=1500, overlap=225",1500,225,1,1128,5830,15348,0.12322695035460993,0.11702127659574468,0.12322695035460993,0.12004396639711078,21.247986700000183,0.33952487632718087
dev,"size=1500, overlap=225",1500,225,3,1128,5830,15348,0.067080378250591,0.19104609929078015,0.19680851063829788,0.09929585469721142,21.247986700000183,0.33952487632718087
dev,"size=1500, overlap=225",1500,225,5,1128,5830,15348,0.0473404255319149,0.2232565011820331,0.23138297872340424,0.07811661349647636,21.247986700000183,0.33952487632718087
dev,"size=1500, overlap=225",1500,225,10,1128,5830,15348,0.028191489361702127,0.2647754137115839,0.27570921985815605,0.05095738242502543,21.247986700000183,0.33952487632718087
dev,"size=1000, overlap=0",1000,0,1,1128,5830,21470,0.1276595744680851,0.12322695035460993,0.1276595744680851,0.1254041049545147,30.081754299993918,0.46690776639430115
dev,"size=1000, overlap=0",1000,0,3,1128,5830,21470,0.06619385342789598,0.1904550827423168,0.19680851063829788,0.09824280606627278,30.081754299993918,0.46690776639430115
dev,"size=1000, overlap=0",1000,0,5,1128,5830,21470,0.04609929078014184,0.2191193853427896,0.22695035460992907,0.07617297852584998,30.081754299993918,0.46690776639430115
dev,"size=1000, overlap=0",1000,0,10,1128,5830,21470,0.028102836879432627,0.266548463356974,0.27570921985815605,0.05084496813809694,30.081754299993918,0.46690776639430115
dev,"size=1000, overlap=300",1000,300,1,1128,5830,24634,0.1356382978723404,0.13150118203309694,0.1356382978723404,0.133537704763698,36.422465399999055,0.48644473448631004
dev,"size=1000, overlap=300",1000,300,3,1128,5830,24634,0.06796690307328604,0.195774231678487,0.20212765957446807,0.10090324545894006,36.422465399999055,0.48644473448631004
dev,"size=1000, overlap=300",1000,300,5,1128,5830,24634,0.047872340425531915,0.22842789598108748,0.23581560283687944,0.07915576288542497,36.422465399999055,0.48644473448631004
dev,"size=1000, overlap=300",1000,300,10,1128,5830,24634,0.028191489361702127,0.2661052009456265,0.27570921985815605,0.05098189812272872,36.422465399999055,0.48644473448631004
