method,top_k,questions,corpus_passages,precision_at_k,recall_at_k,hit_rate_at_k,mrr_at_k,ndcg_at_k,latency_ms_per_query,explanation_coverage,graph_influenced_result_fraction,graph_only_result_fraction,graph_path_gold_rate
dense_cosine,1,100,4876,0.08,0.08,0.08,0.08,0.08,15.652977999998257,1.0,0.0,0.0,0.0
dense_cosine,3,100,4876,0.07666666666666667,0.23,0.23,0.145,0.16678367782143116,15.652977999998257,1.0,0.0,0.0,0.0
dense_cosine,5,100,4876,0.05600000000000001,0.28,0.28,0.156,0.1870027931999353,15.652977999998257,1.0,0.0,0.0,0.0
dense_cosine,10,100,4876,0.038,0.38,0.38,0.1685952380952381,0.21858176420742084,15.652977999998257,1.0,0.0,0.0,0.0
dense_plus_interpretable_graph,1,100,4876,0.08,0.08,0.08,0.08,0.08,15.815570000122534,1.0,0.82,0.0,0.05
dense_plus_interpretable_graph,3,100,4876,0.08,0.24,0.24,0.15166666666666667,0.1744022728928603,15.815570000122534,1.0,0.8733333333333333,0.07,0.21
dense_plus_interpretable_graph,5,100,4876,0.054000000000000006,0.27,0.27,0.15866666666666668,0.1868843321266736,15.815570000122534,1.0,0.856,0.174,0.23
dense_plus_interpretable_graph,10,100,4876,0.036,0.36,0.36,0.17131349206349206,0.21662614472759023,15.815570000122534,1.0,0.907,0.488,0.32
