method,top_k,questions,precision_at_k,recall_at_k,hit_rate_at_k,mrr_at_k,ndcg_at_k,latency_ms_per_query_including_explanations,explanation_coverage
one_step_concept_match,1,100,0.1,0.1,0.1,0.1,0.1,24.80656599989743,1.0
one_step_concept_match,3,100,0.04666666666666666,0.14,0.14,0.115,0.12130929753571458,24.80656599989743,1.0
one_step_concept_match,5,100,0.042,0.21,0.21,0.1295,0.148827231550521,24.80656599989743,1.0
one_step_concept_match,10,100,0.028000000000000004,0.28,0.28,0.13838492063492064,0.17100221533912274,24.80656599989743,1.0
standalone_graph,1,100,0.07,0.07,0.07,0.07,0.07,55.25084299995797,1.0
standalone_graph,3,100,0.05,0.15,0.15,0.10666666666666666,0.11785578521428745,55.25084299995797,1.0
standalone_graph,5,100,0.042,0.21,0.21,0.11916666666666666,0.14150519115674848,55.25084299995797,1.0
standalone_graph,10,100,0.026000000000000002,0.26,0.26,0.12524603174603174,0.15708310599987363,55.25084299995797,1.0
