method,sample_index,repeat,latency_ms,returned
d_threshold_0.3,21,1,20.663299947045743,5
BM25,96,0,16.19679993018508,5
BM25,63,1,18.320500035770237,5
Hybrid,3,1,39.614500012248755,5
d_threshold_0.3,52,0,17.279100022278726,5
Hybrid,32,0,36.448400001972914,5
BM25,37,2,16.859900089912117,5
d_dense_control,82,1,25.122500024735928,5
d_dense_control,71,0,20.542699960060418,5
BM25,2,2,17.033000010997057,5
BM25,23,2,15.998799935914576,5
d_mmr_1.0_10,96,1,18.35250004660338,5
d_threshold_0.3,5,2,18.221599981188774,5
Hybrid,85,1,35.93020001426339,5
d_mmr_1.0_10,8,0,18.445199937559664,5
d_mmr_1.0_10,40,1,22.808299981988966,5
d_mmr_1.0_10,71,0,22.36780000384897,5
BM25,35,2,18.33789993543178,5
d_mmr_1.0_10,88,1,18.391799996607006,5
d_dense_control,60,2,17.751900013536215,5
d_threshold_0.3,37,2,20.154700032435358,5
BM25,33,0,16.68300002347678,5
BM25,11,1,16.49760000873357,5
BM25,69,0,16.575600020587444,5
d_threshold_0.3,61,1,24.38419999089092,5
BM25,8,0,17.606999957934022,5
d_threshold_0.3,8,1,18.965099938213825,5
BM25,42,0,15.632999944500625,5
d_mmr_1.0_10,21,1,19.856699975207448,5
BM25,3,0,15.385200036689639,5
d_dense_control,36,0,18.77629989758134,5
Hybrid,60,2,34.347500069998205,5
d_dense_control,36,1,20.943000097759068,5
d_threshold_0.3,22,0,21.39590005390346,5
Hybrid,7,0,37.264500046148896,5
d_mmr_1.0_10,47,0,18.071600003167987,5
d_threshold_0.3,33,2,16.840699943713844,5
d_dense_control,62,1,16.777099925093353,5
Hybrid,14,0,32.868499984033406,5
d_threshold_0.3,81,0,24.78279999922961,5
d_dense_control,11,2,21.13200002349913,5
d_mmr_1.0_10,30,2,19.88460007123649,5
d_dense_control,40,0,24.59929999895394,5
d_dense_control,35,1,21.427600062452257,5
d_threshold_0.3,45,2,18.528199987486005,5
d_threshold_0.3,58,2,17.718899995088577,5
d_dense_control,84,2,18.848499981686473,5
d_mmr_1.0_10,35,0,17.706300015561283,5
d_threshold_0.3,42,2,18.38819996919483,5
Hybrid,91,0,35.24280001875013,5
d_dense_control,89,2,17.996400012634695,5
d_threshold_0.3,43,1,19.302799948491156,5
d_mmr_1.0_10,77,1,20.93340002465993,5
d_threshold_0.3,26,2,20.65650001168251,5
d_mmr_1.0_10,33,0,17.576599959284067,5
Hybrid,71,2,39.98590004630387,5
d_dense_control,43,0,20.407000090926886,5
d_dense_control,63,1,19.314000033773482,5
d_mmr_1.0_10,13,0,21.753299981355667,5
BM25,31,1,16.105699934996665,5
d_mmr_1.0_10,30,1,17.98210002016276,5
d_dense_control,99,2,19.6189999114722,5
BM25,45,2,17.381199984811246,5
Hybrid,84,2,36.6103999549523,5
d_threshold_0.3,47,0,19.068800029344857,5
d_threshold_0.3,32,2,20.2653999440372,5
d_mmr_1.0_10,49,1,19.724100013263524,5
Hybrid,25,1,39.89659994840622,5
d_threshold_0.3,55,2,20.53949993569404,5
d_threshold_0.3,55,0,19.008400035090744,5
d_threshold_0.3,30,1,17.729600076563656,5
d_mmr_1.0_10,32,0,17.194699961692095,5
BM25,57,1,16.699399915523827,5
Hybrid,58,0,34.14710005745292,5
Hybrid,17,0,39.29660003632307,5
BM25,19,0,18.193500000052154,5
d_mmr_1.0_10,25,1,21.936500095762312,5
BM25,12,0,16.78370009176433,5
d_dense_control,65,0,22.640799987129867,5
Hybrid,27,0,36.200699978508055,5
d_threshold_0.3,64,2,20.472300006076694,5
d_threshold_0.3,34,1,18.62390001770109,5
d_threshold_0.3,30,2,19.088600063696504,5
Hybrid,77,0,45.51659990102053,5
d_threshold_0.3,5,1,18.82700005080551,5
BM25,84,0,20.661600050516427,5
d_dense_control,24,1,18.738399958238006,5
d_mmr_1.0_10,88,0,20.373999956063926,5
d_dense_control,75,2,20.46679996419698,5
d_threshold_0.3,80,2,17.431700020097196,5
d_dense_control,91,1,21.153700072318316,5
d_dense_control,46,0,17.61320000514388,5
d_mmr_1.0_10,32,1,18.08419998269528,5
Hybrid,66,0,35.40900000371039,5
d_threshold_0.3,17,1,19.933999981731176,5
Hybrid,61,2,40.89899989776313,5
d_dense_control,19,0,26.187899988144636,5
d_threshold_0.3,5,0,17.33329996932298,5
d_dense_control,55,1,16.690899967215955,5
d_dense_control,71,1,19.14680004119873,5
d_mmr_1.0_10,16,1,21.910900017246604,5
d_dense_control,18,1,20.886700018309057,5
d_dense_control,95,0,22.851499961689115,5
BM25,14,2,17.652899958193302,5
BM25,35,1,18.188499961979687,5
d_threshold_0.3,26,1,19.329999922774732,5
Hybrid,91,2,38.38679997716099,5
d_mmr_1.0_10,81,0,21.515200030989945,5
Hybrid,64,2,35.79239989630878,5
d_threshold_0.3,59,0,19.518400076776743,5
Hybrid,54,1,38.123900070786476,5
d_mmr_1.0_10,28,2,20.768700051121414,5
d_dense_control,23,0,18.330999999307096,5
d_mmr_1.0_10,82,0,21.338700084015727,5
BM25,52,2,16.813699970953166,5
d_mmr_1.0_10,53,0,18.95539998076856,5
BM25,16,1,16.957300016656518,5
d_dense_control,82,0,22.506300010718405,5
d_dense_control,28,2,20.09959996212274,5
Hybrid,40,0,40.30590003821999,5
BM25,37,1,16.763600055128336,5
d_dense_control,39,1,20.699199987575412,5
d_dense_control,94,2,17.71740010008216,5
d_mmr_1.0_10,72,0,18.788699992001057,5
d_dense_control,47,1,20.529999979771674,5
d_threshold_0.3,27,2,16.919199959374964,5
Hybrid,33,2,37.463300046510994,5
d_threshold_0.3,84,0,19.440600066445768,5
d_threshold_0.3,23,0,18.63840001169592,5
BM25,3,2,17.483800067566335,5
d_dense_control,38,1,20.19720000680536,5
d_threshold_0.3,18,0,20.147199975326657,5
Hybrid,57,2,35.295399953611195,5
Hybrid,39,2,37.28190006222576,5
Hybrid,97,0,43.37079997640103,5
d_mmr_1.0_10,46,2,19.68620007392019,5
Hybrid,37,2,33.65320002194494,5
d_dense_control,90,2,18.216599943116307,5
d_dense_control,46,1,17.5437000580132,5
d_threshold_0.3,16,0,20.666099968366325,5
d_dense_control,17,2,22.847999935038388,5
BM25,42,2,15.80579997971654,5
d_dense_control,30,0,18.98980000987649,5
d_threshold_0.3,65,2,19.091800088062882,5
Hybrid,31,1,37.335700006224215,5
d_mmr_1.0_10,66,2,19.653000053949654,5
BM25,12,1,17.648600041866302,5
BM25,26,2,16.675999970175326,5
d_dense_control,79,2,18.535700044594705,5
Hybrid,24,0,37.458700011484325,5
BM25,79,1,16.84439997188747,5
d_mmr_1.0_10,5,0,19.898199941962957,5
d_threshold_0.3,81,2,20.88480000384152,5
BM25,78,1,15.52130002528429,5
d_threshold_0.3,94,2,18.858600058592856,5
d_threshold_0.3,37,1,17.258299980312586,5
d_mmr_1.0_10,62,1,24.453100049868226,5
d_dense_control,63,2,35.69769999012351,5
Hybrid,88,0,43.893199996091425,5
d_dense_control,53,0,25.299299973994493,5
d_threshold_0.3,88,1,34.81209999881685,5
d_mmr_1.0_10,12,1,32.31799998320639,5
d_threshold_0.3,82,1,27.865500072948635,5
BM25,29,2,20.467400085180998,5
d_mmr_1.0_10,56,2,27.705600019544363,5
BM25,30,2,22.953199921175838,5
Hybrid,86,2,50.86770001798868,5
d_threshold_0.3,96,0,20.61190002132207,5
d_threshold_0.3,84,2,24.284800048917532,5
BM25,41,2,16.402399982325733,5
d_dense_control,20,0,23.170099942944944,5
BM25,73,1,16.88020001165569,5
d_mmr_1.0_10,41,1,19.00170010048896,5
d_dense_control,9,1,15.97050006967038,5
d_threshold_0.3,25,0,20.114000071771443,5
BM25,9,1,18.249500077217817,5
BM25,55,1,17.443199991248548,5
d_mmr_1.0_10,51,0,21.745100035332143,5
d_threshold_0.3,3,2,20.171300042420626,5
BM25,51,0,17.503199982456863,5
d_dense_control,77,0,20.14669997151941,5
BM25,75,2,17.89500005543232,5
d_mmr_1.0_10,99,2,21.48790005594492,5
d_threshold_0.3,7,2,23.781499941833317,5
d_threshold_0.3,62,2,20.280799944885075,5
d_threshold_0.3,51,0,19.63140000589192,5
d_dense_control,7,1,18.644699943251908,5
d_dense_control,1,1,20.135600003413856,5
Hybrid,54,0,38.31460000947118,5
d_dense_control,15,0,19.045700086280704,5
d_mmr_1.0_10,6,0,17.447000020183623,5
d_threshold_0.3,39,2,18.495899974368513,5
d_mmr_1.0_10,70,2,17.831299919635057,5
d_mmr_1.0_10,39,1,18.63720000255853,5
d_dense_control,4,0,17.922500032000244,5
d_mmr_1.0_10,67,2,18.852600012905896,5
d_dense_control,40,1,20.517800003290176,5
Hybrid,26,0,35.02469998784363,5
BM25,64,2,17.015699995681643,5
BM25,91,0,15.928099979646504,5
d_threshold_0.3,37,0,19.96469998266548,5
d_mmr_1.0_10,15,1,18.853800022043288,5
Hybrid,74,2,33.579499926418066,5
d_dense_control,51,2,19.19110002927482,5
d_dense_control,50,1,21.053300006315112,5
d_dense_control,52,1,16.43120008520782,5
d_mmr_1.0_10,7,1,19.219700014218688,5
d_mmr_1.0_10,65,0,19.244199967943132,5
d_dense_control,96,0,15.777299995534122,5
BM25,12,2,17.13609998114407,5
d_dense_control,97,0,24.1262000054121,5
d_dense_control,69,1,19.627399975433946,5
d_mmr_1.0_10,86,0,20.228900015354156,5
d_threshold_0.3,90,2,19.208099925890565,5
d_mmr_1.0_10,94,1,22.87630003411323,5
d_dense_control,32,1,18.38820008561015,5
BM25,89,2,16.796400072053075,5
Hybrid,21,1,36.71719995327294,5
d_dense_control,80,2,17.348999972455204,5
d_dense_control,70,1,20.3157999785617,5
d_threshold_0.3,23,1,18.708699964918196,5
Hybrid,0,2,35.24449991527945,5
d_dense_control,16,1,25.075800018385053,5
d_mmr_1.0_10,24,2,21.426099934615195,5
d_dense_control,13,0,20.813200040720403,5
Hybrid,72,1,38.44289993867278,5
d_dense_control,50,0,18.918200046755373,5
d_mmr_1.0_10,74,2,17.345700063742697,5
