owner,method,n_queries,precision_at_k,recall_at_k,hit_rate_at_k,mrr_at_k,ndcg_at_k,answer_status
B,"Florence BM25 k1=1.6, b=1",4575,0.0655300546448087,0.311183970856102,0.3210928961748633,0.2339672131147541,0.2497272724921649,not_run
C,Hybrid RRF alpha=0.25,4575,0.0643497267759563,0.3056102003642987,0.314535519125683,0.2205063752276866,0.2386241936678728,pilot
A,"Dense MiniLM, chunk 500 / overlap 75",4575,0.0479125683060109,0.2283970856102004,0.2340983606557377,,,not_run
D,d_mmr_1.0_10,4575,0.0450710382513654,0.2117668488160291,0.2194535519125683,0.1583278688524592,0.1688893475601085,not_run
D,d_threshold_0.3,4575,0.0450273224043709,0.2116939890710382,0.2194535519125683,0.1583278688524592,0.1688496662939801,not_run
