method,query_id,k,recall,hit_rate,all_evidence_hit,evidence_coverage,mrr,ndcg
bm25,26,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,26,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,26,10,1.0,1.0,1.0,1.0,0.1111111111111111,0.3010299956639812
bm25,26,20,1.0,1.0,1.0,1.0,0.1111111111111111,0.3010299956639812
bm25,27,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,27,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,27,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,27,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,27,20,0.0,0.0,0.0,0.0,0.0,0.0
bm25,28,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,28,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,28,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,28,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,28,20,0.0,0.0,0.0,0.0,0.0,0.0
bm25,29,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,29,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,29,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,29,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,29,20,0.0,0.0,0.0,0.0,0.0,0.0
bm25,31,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,31,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,31,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,31,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,31,20,0.0,0.0,0.0,0.0,0.0,0.0
bm25,32,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,32,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,32,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,32,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,32,20,0.0,0.0,0.0,0.0,0.0,0.0
bm25,33,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,33,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,33,5,1.0,1.0,1.0,1.0,0.25,0.43067655807339306
bm25,33,10,1.0,1.0,1.0,1.0,0.25,0.43067655807339306
bm25,33,20,1.0,1.0,1.0,1.0,0.25,0.43067655807339306
bm25,35,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,35,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,35,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,35,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,35,20,0.0,0.0,0.0,0.0,0.0,0.0
bm25,37,1,1.0,1.0,1.0,1.0,1.0,1.0
bm25,37,3,1.0,1.0,1.0,1.0,1.0,1.0
bm25,37,5,1.0,1.0,1.0,1.0,1.0,1.0
bm25,37,10,1.0,1.0,1.0,1.0,1.0,1.0
bm25,37,20,1.0,1.0,1.0,1.0,1.0,1.0
bm25,38,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,38,3,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
bm25,38,5,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
bm25,38,10,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
bm25,38,20,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
bm25,39,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,39,3,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
bm25,39,5,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
bm25,39,10,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
bm25,39,20,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
bm25,40,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,40,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,40,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,40,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,40,20,0.0,0.0,0.0,0.0,0.0,0.0
bm25,41,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,41,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,41,5,1.0,1.0,1.0,1.0,0.2,0.38685280723454163
bm25,41,10,1.0,1.0,1.0,1.0,0.2,0.38685280723454163
bm25,41,20,1.0,1.0,1.0,1.0,0.2,0.38685280723454163
bm25,42,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,42,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,42,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,42,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,42,20,1.0,1.0,1.0,1.0,0.0625,0.24465054211822604
