schema_version,owner,method_id,method,dataset_id,corpus_id,split_id,split,k,n_queries,precision_at_k,recall_at_k,hit_rate_at_k,mrr_at_k,ndcg_at_k,latency_ms_per_query,answer_n,answer_exact_match,answer_token_f1,answer_semantic_similarity,generator_model,answer_status,answer_protocol_id
1.0,B,b_bm25_tuned,"Florence BM25 k1=1.6, b=1",FinDER-5703,finder-deduplicated-references-5830-v1,sha1-mod5-dev-v1,test,1,4575,0.18316939890710382,0.17655737704918031,0.18316939890710382,0.18316939890710382,0.18316939890710382,3.605879923898747,0,,,,,not_run,
1.0,B,b_bm25_tuned,"Florence BM25 k1=1.6, b=1",FinDER-5703,finder-deduplicated-references-5830-v1,sha1-mod5-dev-v1,test,3,4575,0.0934790528233151,0.267632058287796,0.27759562841530055,0.2242622950819672,0.23176822570858852,3.5271736925793555,0,,,,,not_run,
1.0,B,b_bm25_tuned,"Florence BM25 k1=1.6, b=1",FinDER-5703,finder-deduplicated-references-5830-v1,sha1-mod5-dev-v1,test,5,4575,0.06553005464480875,0.311183970856102,0.32109289617486336,0.23396721311475413,0.24972727249216495,3.6630845155892637,0,,,,,not_run,
1.0,B,b_bm25_tuned,"Florence BM25 k1=1.6, b=1",FinDER-5703,finder-deduplicated-references-5830-v1,sha1-mod5-dev-v1,test,10,4575,0.03875409836065574,0.3660655737704918,0.3763934426229508,0.24130497007546187,0.26775386569995496,4.962929711483745,0,,,,,not_run,
