method_id,query_id,repeat,latency_ms,returned
a_dense_minilm_500_75,15b5a805,3,13.914500013925135,5
d_mmr_1.0_10,c3f1f26a,0,11.782500077970326,5
a_dense_minilm_500_75,2ef8185f,2,13.3457500487566,5
b_bm25_tuned,e88ce2d1,1,9.423832991160452,5
b_bm25_tuned,2ef8185f,0,5.895290989428759,5
d_threshold_0.3,4c4b85fd,2,14.105833019129932,5
d_mmr_1.0_10,4c8043e4,1,16.198417055420578,5
d_mmr_1.0_10,ab7f8163,2,14.181584003381431,5
b_bm25_tuned,65f007c7,2,4.646125016734004,5
d_threshold_0.3,af9492a5,0,15.349957975558937,5
b_bm25_tuned,91a5521c,4,8.759042015299201,5
d_threshold_0.3,c64d8ea1,3,15.14354208484292,5
hybrid_rrf_75bm25_25dense,5afca8e2,3,25.674083037301898,5
a_dense_minilm_500_75,af9492a5,3,19.250417011789978,5
a_dense_minilm_500_75,67f0bc2a,2,14.942332985810935,5
a_dense_minilm_500_75,f5053c04,1,13.387000071816146,5
a_dense_minilm_500_75,f58b0476,0,18.503583036363125,5
a_dense_minilm_500_75,aeb7fc83,1,18.901041010394692,5
a_dense_minilm_500_75,662d106f,1,21.33200003299862,5
d_threshold_0.3,d568d2e6,3,21.61491708829999,5
d_threshold_0.3,7b795372,3,24.596665985882282,5
d_threshold_0.3,4c4b85fd,3,15.163957956247032,5
d_mmr_1.0_10,b8f2e37f,2,25.888875010423362,5
d_threshold_0.3,cf2642de,4,34.94966693688184,5
d_threshold_0.3,866ef8da,1,19.99079203233123,5
d_mmr_1.0_10,4c4b85fd,0,17.485167016275227,5
b_bm25_tuned,d414f672,1,6.095416028983891,5
a_dense_minilm_500_75,1b837a04,0,17.29420805349946,5
d_threshold_0.3,cf2642de,2,17.586124944500625,5
d_threshold_0.3,866ef8da,3,19.604875007644296,5
d_threshold_0.3,c37dca0a,2,34.45058304350823,5
d_mmr_1.0_10,4b2547f5,1,20.719250082038343,5
d_threshold_0.3,a3f75c4c,1,23.696333053521812,5
a_dense_minilm_500_75,af9f9651,0,19.11237498279661,5
a_dense_minilm_500_75,c250208a,4,18.818375072441995,5
hybrid_rrf_75bm25_25dense,81793c8a,1,26.044209022074938,5
d_threshold_0.3,7c3d731b,1,11.451583006419241,5
b_bm25_tuned,33bd358a,3,4.038124927319586,5
d_threshold_0.3,d45d63d3,4,11.228916933760047,5
a_dense_minilm_500_75,2ce8db63,3,18.51462502963841,5
hybrid_rrf_75bm25_25dense,6a9fccf8,3,19.816916901618242,5
b_bm25_tuned,6c8d9611,0,9.682917036116123,5
a_dense_minilm_500_75,8185bded,2,13.4077079128474,5
d_threshold_0.3,2f81464c,4,12.109874980524182,5
d_mmr_1.0_10,7c6e2326,1,11.242583044804633,5
b_bm25_tuned,4c8043e4,2,8.257999899797142,5
d_mmr_1.0_10,166365be,3,12.088499963283539,5
d_mmr_1.0_10,39cb0ae3,0,10.039707995019853,5
d_mmr_1.0_10,662d106f,3,13.087625033222139,5
b_bm25_tuned,3f9c9ea2,0,8.3136250032112,5
a_dense_minilm_500_75,631f67f4,2,16.505333012901247,5
b_bm25_tuned,9137d00c,1,3.772833035327494,5
d_mmr_1.0_10,a3f75c4c,2,14.030540944077075,5
d_mmr_1.0_10,214c8ab4,1,10.297750006429851,5
a_dense_minilm_500_75,b77b94f8,1,12.340083019807935,5
d_mmr_1.0_10,33bd358a,0,11.264125001616776,5
a_dense_minilm_500_75,10a0e925,2,15.08033403661102,5
d_mmr_1.0_10,c3f1f26a,2,12.174417031928897,5
b_bm25_tuned,10a0e925,1,11.854707961902022,5
b_bm25_tuned,6c777e2a,3,4.608499933965504,5
a_dense_minilm_500_75,a746930b,1,14.632208039984107,5
hybrid_rrf_75bm25_25dense,ab7f8163,3,18.946416908875108,5
hybrid_rrf_75bm25_25dense,61b75f97,1,22.72599993739277,5
a_dense_minilm_500_75,33bd358a,4,12.416041921824217,5
a_dense_minilm_500_75,4c4b85fd,4,12.775750015862286,5
d_mmr_1.0_10,6a9fccf8,1,11.626875028014183,5
d_threshold_0.3,81793c8a,1,11.877208016812801,5
a_dense_minilm_500_75,a3f75c4c,1,10.237500071525574,5
b_bm25_tuned,9137d00c,4,3.847333020530641,5
d_threshold_0.3,91a5521c,1,11.13691704813391,5
d_mmr_1.0_10,7c3d731b,4,15.17991698347032,5
d_mmr_1.0_10,1098a682,1,10.694165946915746,5
d_threshold_0.3,668b927a,0,16.19266695342958,5
hybrid_rrf_75bm25_25dense,9e890fac,3,23.569958051666617,5
d_mmr_1.0_10,f6d8272a,1,10.015374980866909,5
b_bm25_tuned,4c8043e4,4,7.915416033938527,5
a_dense_minilm_500_75,e32c413c,1,22.352666943334043,5
b_bm25_tuned,7c6e2326,3,8.472666959278286,5
hybrid_rrf_75bm25_25dense,0daec318,2,21.95108402520418,5
d_mmr_1.0_10,81793c8a,2,11.637124931439757,5
a_dense_minilm_500_75,a5dc1f70,3,14.626334072090685,5
b_bm25_tuned,af9f9651,0,6.027249968610704,5
d_mmr_1.0_10,2ef8185f,2,14.600290916860104,5
d_threshold_0.3,39cb0ae3,1,12.665541027672589,5
b_bm25_tuned,662d106f,4,8.407375076785684,5
b_bm25_tuned,a72b30bc,2,11.012875009328127,5
d_mmr_1.0_10,33bd358a,4,11.616625008173287,5
hybrid_rrf_75bm25_25dense,21c9dee5,3,18.041541101410985,5
d_threshold_0.3,7b70306c,2,12.812666944228113,5
a_dense_minilm_500_75,0cf13966,4,11.395083041861653,5
b_bm25_tuned,41f10609,0,5.3309580544009805,5
a_dense_minilm_500_75,800b6da2,0,15.792208025231957,5
a_dense_minilm_500_75,f6d8272a,0,15.583875006996095,5
d_mmr_1.0_10,e58b0d4f,4,12.401374988257885,5
b_bm25_tuned,fcd400e9,3,9.351625107228756,5
b_bm25_tuned,5afca8e2,1,0.29737502336502075,5
b_bm25_tuned,a746930b,4,8.77758301794529,5
a_dense_minilm_500_75,fa08cbd4,1,11.050625005736947,5
d_threshold_0.3,501e7331,4,16.2044579628855,5
d_mmr_1.0_10,866ef8da,0,12.079874984920025,5
a_dense_minilm_500_75,7c3d731b,3,12.889500008895993,5
b_bm25_tuned,a3f75c4c,0,10.691583971492946,5
d_mmr_1.0_10,631f67f4,4,14.32416692841798,5
a_dense_minilm_500_75,67f0bc2a,4,15.336792101152241,5
d_threshold_0.3,7c6e2326,0,10.736250085756183,5
d_mmr_1.0_10,d414f672,0,16.343750059604645,5
b_bm25_tuned,f6d8272a,1,7.14441598393023,5
d_mmr_1.0_10,71f3292e,1,11.558374972082675,5
b_bm25_tuned,65f007c7,3,4.049499984830618,5
b_bm25_tuned,2b9ff3ae,4,13.76254204660654,5
b_bm25_tuned,b77b94f8,0,9.058833005838096,5
a_dense_minilm_500_75,25376eba,2,12.368042021989822,5
d_threshold_0.3,e88ce2d1,4,13.340457924641669,5
