control,k,n_queries,precision_at_k,precision_returned,recall_at_k,evidence_coverage_at_k,all_gold_included_at_k,hit_rate_at_k,mrr_at_k,ndcg_at_k,n_returned,empty_rate
oracle_label_check_NOT_A_RETRIEVER,1,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0
oracle_label_check_NOT_A_RETRIEVER,3,100,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0
oracle_label_check_NOT_A_RETRIEVER,5,100,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0
oracle_label_check_NOT_A_RETRIEVER,10,100,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0
empty_output_check_NOT_A_RETRIEVER,1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
empty_output_check_NOT_A_RETRIEVER,3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
empty_output_check_NOT_A_RETRIEVER,5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
empty_output_check_NOT_A_RETRIEVER,10,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
